BRAND,CATEGORY,COLOR,CUSTOMER_ID,ORDER_COUNTRY,ORDER_DATE,ORDER_ID,ORDER_STATUS,PAYMENT_METHOD,PRODUCT_NAME,QUANTITY,SHIPPING_METHOD,SIZE,SUB-CATEGORY,UNIT_PRICE
Coach,Accessories,Black,2426,Mexico,2022-07-12,ORD-398,Cancelled,PayPal,Leather Wallet,5,Standard,One Size,Wallets,250
Adidas,Women's Shoes,Grey,2313,Hong Kong,2022-07-12,ORD-236,Shipped,Cash on Delivery,Grey Sneakers,4,Express,Size 8,Sneakers,99.99
Banana Republic,Women's Clothing,Cream,2239,Saudi Arabia,2022-07-12,ORD-911,Cancelled,PayPal,Cable Knit Sweater,2,Standard,Size S,Sweaters,79.99
Mango,Women's Clothing,Red,2002,Italy,2022-07-12,ORD-1495,Shipped,Cash on Delivery,Red Puffer Jacket,2,Standard,Size M,Outerwear,249.99
J.Crew,Men's Clothing,Blue/White,2346,United Kingdom,2022-07-13,ORD-343,Processing,Credit/Debit Card,Striped Button-Up Shirt,9,Standard,Size XL,Tops,59.99
Banana Republic,Women's Clothing,Cream,2139,United States,2022-07-13,ORD-211,Shipped,Cash on Delivery,Cable Knit Sweater,8,Express,Size S,Sweaters,79.99
Adidas Kids,Kids Clothing,Green,2088,United States,2022-07-13,ORD-1138,Delivered,Credit/Debit Card,Green Hooded Sweatshirt,2,Standard,Size 14,Tops,44.99
J.Crew,Men's Clothing,Grey,2283,Greece,2022-07-14,ORD-917,Cancelled,PayPal,V-Neck Cashmere Sweater,4,Standard,Size XL,Sweaters,119.99
Marmot,Women's Clothing,Navy Blue,2104,Brazil,2022-07-14,ORD-1397,Shipped,Credit/Debit Card,Women's Down Jacket,3,Standard,Size M,Outerwear,299.99
H&M Kids,Kids Clothing,Blue,2125,Germany,2022-07-14,ORD-1544,Delivered,Credit/Debit Card,Blue Plaid Shirt,2,Standard,Size 12,Tops,29.99
Gap Kids,Kids Clothing,Pink,2133,Japan,2022-07-15,ORD-700,Shipped,Cash on Delivery,Pink Floral Dress,4,Express,Size 6,Dresses,24.99
Zara Kids,Kids Clothing,Purple and White,2271,Greece,2022-07-15,ORD-168,Delivered,Credit/Debit Card,Purple Floral Romper,1,Standard,Size 2,Rompers,94.99
The North Face,Women's Clothing,Black,2338,Saudi Arabia,2022-07-15,ORD-543,Delivered,Credit/Debit Card,Women's Puffer Jacket,9,Standard,Size S,Outerwear,199.99
GAP Kids,Kids Clothing,Blue and Green,2345,Canada,2022-07-15,ORD-316,Processing,Credit/Debit Card,Blue Plaid Button-Up Shirt,8,Standard,Size 5,Tops,19.99
J.Crew,Women's Clothing,Grey,2038,India,2022-07-15,ORD-1303,Delivered,Credit/Debit Card,Grey Knit Sweater,2,Standard,Size L,Sweaters,89.99
Coach,Accessories,Gray,2033,United Arab Emirates,2022-07-15,ORD-1233,Processing,Cash on Delivery,Wool Fedora Hat,1,Express,Size M,Hats,195
Cole Haan,Men's Shoes,Brown,2208,Denmark,2022-07-16,ORD-902,Cancelled,PayPal,Leather Oxford Shoes,4,Standard,Size 10.5,Dress Shoes,149.99
Nike Kids,Kids Clothing,Blue,2128,Greece,2022-07-16,ORD-156,Delivered,Credit/Debit Card,Blue Graphic T-shirt,5,Standard,Size 5,Tops,24.99
Gap,Men's Clothing,Navy,2049,Morocco,2022-07-16,ORD-1180,Shipped,Cash on Delivery,Classic Cotton T-Shirt,1,Standard,Size L,Tops,24.99
Madewell,Women's Clothing,Navy/White,2395,United Arab Emirates,2022-07-16,ORD-667,Delivered,Credit/Debit Card,Striped Sweater,5,Standard,Size XS,Sweaters,98
Levi's,Men's Clothing,Blue,2310,Denmark,2022-07-16,ORD-230,Shipped,Cash on Delivery,Blue Jeans,9,Express,Size 32,Jeans,79.99
Levi's,Women's Clothing,Light Blue,2407,Switzerland,2022-07-16,ORD-481,Delivered,Credit/Debit Card,Distressed Denim Shorts,7,Standard,Size M,Bottoms,49.99
Barbour,Men's Clothing,Navy,2106,Norway,2022-07-17,ORD-406,Cancelled,PayPal,Men's Quilted Jacket,5,Standard,Size L,Jackets,299.99
Zara Kids,Kids Clothing,Purple and White,2033,South Africa,2022-07-17,ORD-1148,Delivered,Credit/Debit Card,Purple Floral Romper,1,Standard,Size 2,Rompers,94.99
H&M,Men's Clothing,Brown,2021,Portugal,2022-07-17,ORD-1362,Shipped,Credit/Debit Card,Brown Leather Loafers,1,Standard,Size 10,Shoes,149.99
Mango,Women's Clothing,Navy,2179,Tunisia,2022-07-17,ORD-810,Processing,Credit/Debit Card,Velvet Jumpsuit,9,Standard,Size S,Jumpsuits & Rompers,178
AllSaints,Men's Clothing,Black,2071,Norway,2022-07-18,ORD-1300,Delivered,Credit/Debit Card,Black Leather Jacket,2,Standard,Size M,Jackets,499.99
Topshop,Women's Clothing,Burgundy,2424,Tunisia,2022-07-18,ORD-273,Shipped,Credit/Debit Card,Women's Faux Leather Jacket,4,Express,Size M,Jackets,99.99
Levi's,Women's Clothing,Black,1986,Portugal,2022-07-18,ORD-1447,Delivered,Credit/Debit Card,Black Skinny Jeans,2,Standard,Size 28,Jeans,69.99
Nike,Men's Clothing,Red,2036,Japan,2022-07-18,ORD-124,Delivered,Credit/Debit Card,Men's Hooded Windbreaker,4,Standard,Size M,Jackets,79.99
Levi's,Men's Clothing,Blue,2396,Germany,2022-07-18,ORD-402,Cancelled,PayPal,Men's Denim Jacket,2,Standard,Size XL,Jackets,119.99
Nike Kids,Kids Clothing,Blue,2001,Mexico,2022-07-18,ORD-1410,Delivered,Credit/Debit Card,Blue Hoodie,2,Standard,Size 10,Tops,39.99
J.Crew,Men's Clothing,Green,1988,Canada,2022-07-18,ORD-1450,Delivered,Credit/Debit Card,Green Cargo Pants,3,Standard,Size 32x32,Pants,89.99
Nike,Men's Clothing,Red,2021,United Kingdom,2022-07-18,ORD-1104,Delivered,Credit/Debit Card,Men's Hooded Windbreaker,2,Standard,Size M,Jackets,79.99
Banana Republic,Women's Clothing,Cream,2423,South Africa,2022-07-19,ORD-771,Shipped,Cash on Delivery,Cable Knit Sweater,3,Express,Size S,Sweaters,79.99
Mango,Women's Clothing,Red,2443,Mexico,2022-07-19,ORD-1075,Shipped,Credit/Debit Card,Red Puffer Jacket,6,Standard,Size M,Outerwear,249.99
Coach,Accessories,Black,2104,Morocco,2022-07-19,ORD-1098,Shipped,Credit/Debit Card,Leather Wallet,2,Standard,One Size,Wallets,250
Ralph Lauren Kids,Kids Clothing,Yellow and White,2369,Switzerland,2022-07-19,ORD-179,Delivered,Credit/Debit Card,Yellow Floral Sundress,4,Standard,Size 12,Dresses,248.99
Mango,Women's Accessories,Brown,2116,United Kingdom,2022-07-20,ORD-1358,Shipped,Credit/Debit Card,Brown Leather Gloves,3,Standard,Size M,Gloves,129.99
Topshop,Women's Clothing,Burgundy,2047,Netherlands,2022-07-20,ORD-553,Shipped,Credit/Debit Card,Women's Faux Leather Jacket,1,Standard,Size M,Jackets,99.99
J.Crew,Women's Clothing,Charcoal Grey,2048,Tunisia,2022-07-20,ORD-1107,Delivered,Credit/Debit Card,Women's Wool Peacoat,1,Standard,Size M,Outerwear,249.99
H&M,Women's Clothing,Pink/Yellow,2247,United Arab Emirates,2022-07-20,ORD-1059,Shipped,Credit/Debit Card,Floral Print Sundress,3,Standard,Size S,Dresses,39.99
Ralph Lauren Kids,Kids Clothing,White,2029,United Arab Emirates,2022-07-20,ORD-1574,Delivered,Credit/Debit Card,White Eyelet Dress,3,Standard,Size 7,Dresses,244.99
Rebecca Taylor,Women's Clothing,White,2146,Tunisia,2022-07-21,ORD-1591,Delivered,Credit/Debit Card,White Eyelet Blouse,1,Standard,Size S,Tops,179.99
H&M Kids,Kids Clothing,Blue,2112,Netherlands,2022-07-21,ORD-1291,Delivered,Credit/Debit Card,Blue Denim Skirt,2,Standard,Size 8,Skirts,32.99
Brooks Brothers,Men's Clothing,Navy,2028,Germany,2022-07-21,ORD-1480,Shipped,Cash on Delivery,Navy Blazer,2,Standard,Size 40R,Blazers,399.99
H&M,Men's Clothing,Gray,2337,United Arab Emirates,2022-07-21,ORD-661,Delivered,Credit/Debit Card,Gray Pullover Sweater,1,Standard,Size L,Sweaters,129
Cole Haan,Men's Shoes,Brown,2092,Saudi Arabia,2022-07-22,ORD-622,Delivered,Credit/Debit Card,Leather Oxford Shoes,5,Standard,Size 10.5,Dress Shoes,149.99
Mango,Women's Clothing,Caramel,2059,Italy,2022-07-22,ORD-1511,Shipped,Cash on Delivery,Leather Tote Bag,2,Standard,One Size,Handbags,195
Nike Kids,Kids Clothing,Blue,2222,South Africa,2022-07-22,ORD-996,Delivered,Credit/Debit Card,Blue Graphic T-shirt,10,Standard,Size 5,Tops,24.99
J.Crew,Men's Clothing,Blue/White,2239,Greece,2022-07-22,ORD-623,Delivered,Credit/Debit Card,Striped Button-Up Shirt,9,Standard,Size XL,Tops,59.99
GAP Kids,Kids Clothing,Blue and Green,2127,Greece,2022-07-23,ORD-596,Shipped,Credit/Debit Card,Blue Plaid Button-Up Shirt,7,Standard,Size 5,Tops,19.99
Mango,Women's Clothing,Black,2307,France,2022-07-23,ORD-374,Cancelled,PayPal,Black Leggings,5,Standard,Size S,Leggings,89.99
Mango,Women's Clothing,Ivory,2177,Mexico,2022-07-23,ORD-493,Delivered,Credit/Debit Card,Ruffle-Trimmed Blouse,6,Standard,Size M,Tops,39.99
Nike Kids,Kids Clothing,Green,2438,Egypt,2022-07-24,ORD-163,Delivered,Credit/Debit Card,Green Cargo Pants,3,Standard,Size 12,Bottoms,19.99
Ray-Ban,Unisex Accessories,Gold/Brown,2326,Denmark,2022-07-24,ORD-216,Shipped,Cash on Delivery,Classic Aviator Sunglasses,7,Express,One Size,Eyewear,149.99
Banana Republic,Women's Clothing,Cream,2179,Japan,2022-07-25,ORD-351,Processing,Credit/Debit Card,Cable Knit Sweater,3,Standard,Size S,Sweaters,79.99
Mango,Women's Clothing,Brown,2236,Hong Kong,2022-07-25,ORD-691,Shipped,Cash on Delivery,Women's Suede Trench Coat,3,Standard,Size L,Outerwear,279.99
The North Face,Men's Clothing,Grey,2117,Mexico,2022-07-26,ORD-1390,Shipped,Credit/Debit Card,Men's Fleece Jacket,3,Standard,Size M,Jackets,99.99
Madewell,Women's Clothing,Blue,2109,Hong Kong,2022-07-26,ORD-473,Delivered,Credit/Debit Card,Blue Denim Jacket,7,Standard,Size M,Jackets,99.99
The North Face,Men's Clothing,Grey,2004,Egypt,2022-07-27,ORD-1250,Processing,Credit/Debit Card,Men's Fleece Jacket,2,Express,Size M,Jackets,99.99
H&M,Men's Clothing,Khaki,2272,Japan,2022-07-27,ORD-800,Processing,Credit/Debit Card,Slim-Fit Khaki Pants,6,Standard,Size 32x32,Pants,98
Coachy,Women's Clothing,Black,2131,Tunisia,2022-07-27,ORD-1347,Shipped,Credit/Debit Card,Black Pencil Skirt,2,Standard,Size 4,Skirts,179.99
Hugo Boss,Men's Clothing,Navy Blue,2142,France,2022-07-28,ORD-1444,Delivered,Credit/Debit Card,Navy Blue Suit,2,Standard,Size 42R,Suits,799.99
H&M,Men's Clothing,Gray,2142,Portugal,2022-07-28,ORD-521,Delivered,Credit/Debit Card,Gray Pullover Sweater,6,Standard,Size L,Sweaters,129
Ralph Lauren,Men's Clothing,Pink,2202,Morocco,2022-07-28,ORD-922,Cancelled,PayPal,Pink Polo Shirt,7,Standard,Size M,Polo Shirts,69.99
Zara Kids,Kids Clothing,Grey,2094,France,2022-07-28,ORD-1578,Delivered,Credit/Debit Card,Grey Hoodie,2,Standard,Size L,Sweatshirts,39.99
Coach,Men's Clothing,Grey,2035,France,2022-07-28,ORD-894,Cancelled,PayPal,Grey Turtleneck Sweater,7,Standard,Size L,Sweaters,129.99
J.Crew,Men's Clothing,Grey,2104,Norway,2022-07-29,ORD-1477,Shipped,Cash on Delivery,V-Neck Cashmere Sweater,2,Standard,Size XL,Sweaters,119.99
H&M Kids,Kids Clothing,Orange,2442,China,2022-07-29,ORD-148,Delivered,Credit/Debit Card,Orange Cargo Shorts,2,Standard,Size 8,Shorts,22.99
Mango,Women's Clothing,Pink,2014,United Arab Emirates,2022-07-29,ORD-1305,Delivered,Credit/Debit Card,Pink Silk Blouse,2,Standard,Size XS,Tops,199.99
Nike Kids,Kids Clothing,Black,2415,Tunisia,2022-07-29,ORD-1012,Delivered,Credit/Debit Card,Black Track Pants,7,Standard,Size 10,Bottoms,29.99
Madewell,Women's Clothing,Blue,2095,China,2022-07-30,ORD-1593,Delivered,Credit/Debit Card,Blue Denim Jacket,3,Standard,Size M,Jackets,99.99
H&M,Women's Clothing,Black,2385,Greece,2022-07-30,ORD-386,Cancelled,PayPal,Black Ankle Boots,8,Standard,Size 8,Shoes,129.95
The North Face,Women's Clothing,Black,1995,Hong Kong,2022-07-30,ORD-263,Shipped,Cash on Delivery,Women's Puffer Jacket,9,Express,Size S,Outerwear,199.99
Nike Kids,Kids Clothing,Black,2004,United Arab Emirates,2022-07-30,ORD-1572,Delivered,Credit/Debit Card,Black Track Pants,2,Standard,Size 10,Bottoms,29.99
Nike Kids,Kids Clothing,Blue,2115,Morocco,2022-07-31,ORD-856,Processing,Credit/Debit Card,Blue Graphic T-shirt,3,Standard,Size 5,Tops,24.99
H&M,Women's Clothing,Black,2105,Brazil,2022-07-31,ORD-946,Cancelled,Credit/Debit Card,Black Ankle Boots,4,Standard,Size 8,Shoes,129.95
Theory,Women's Clothing,Grey,2011,Canada,2022-08-01,ORD-226,Shipped,Cash on Delivery,Grey Turtleneck Sweater,4,Express,Size S,Sweaters,149.99
Ralph Lauren Kids,Kids Clothing,Yellow,2392,Japan,2022-08-01,ORD-853,Processing,Credit/Debit Card,Yellow Polo Shirt,3,Standard,Size 7,Tops,149.99
Equipment,Women's Clothing,Ivory,2245,Canada,2022-08-01,ORD-228,Shipped,Cash on Delivery,Ivory Silk Blouse,2,Express,Size M,Blouses,249.99
Gap Kids,Kids Clothing,Yellow,2121,Greece,2022-08-01,ORD-1406,Delivered,Credit/Debit Card,Yellow Raincoat,2,Standard,Size 4,Jackets,49.99
Topshop,Women's Clothing,Burgundy,2119,China,2022-08-01,ORD-973,Delivered,Credit/Debit Card,Women's Faux Leather Jacket,3,Standard,Size M,Jackets,99.99
Mango,Women's Clothing,Ivory,2132,South Africa,2022-08-02,ORD-1333,Delivered,Credit/Debit Card,Ruffle-Trimmed Blouse,3,Standard,Size M,Tops,39.99
Mango,Women's Clothing,Black,2066,Germany,2022-08-03,ORD-1389,Shipped,Credit/Debit Card,Women's Leather Moto Jacket,2,Standard,Size S,Jackets,199.99
Levi's,Women's Clothing,Dark Blue,2064,United Kingdom,2022-08-03,ORD-1187,Shipped,Cash on Delivery,High-Waisted Skinny Jeans,2,Express,Size 28,Bottoms,79.99
Ralph Lauren Kids,Kids Clothing,White,2018,Saudi Arabia,2022-08-03,ORD-1294,Delivered,Credit/Debit Card,White Eyelet Dress,1,Standard,Size 7,Dresses,244.99
Nike Kids,Kids Clothing,Green,2079,Morocco,2022-08-03,ORD-1423,Delivered,Credit/Debit Card,Green Cargo Pants,2,Standard,Size 12,Bottoms,19.99
H&M Kids,Kids Clothing,Pink,1998,United States,2022-08-04,ORD-1549,Delivered,Credit/Debit Card,Pink Striped Dress,2,Standard,Size 4,Dresses,59.99
Mango,Women's Clothing,Caramel,2298,Italy,2022-08-04,ORD-391,Cancelled,PayPal,Leather Tote Bag,2,Standard,One Size,Handbags,195
J.Crew,Women's Clothing,Grey,2148,Saudi Arabia,2022-08-04,ORD-323,Processing,Credit/Debit Card,Grey Knit Sweater,10,Standard,Size L,Sweaters,89.99
GAP Kids,Kids Clothing,Blue and Green,2300,Canada,2022-08-04,ORD-176,Delivered,Credit/Debit Card,Blue Plaid Button-Up Shirt,2,Standard,Size 5,Tops,19.99
Clarks,Men's Shoes,Taupe,2332,Mexico,2022-08-04,ORD-208,Shipped,Cash on Delivery,Suede Desert Boots,2,Express,Size 9,Casual Shoes,99.99
Zara Kids,Kids Clothing,Purple and White,2150,Japan,2022-08-05,ORD-868,Cancelled,PayPal,Purple Floral Romper,6,Standard,Size 2,Rompers,94.99
H&M,Men's Clothing,Khaki,2061,Spain,2022-08-05,ORD-1500,Shipped,Cash on Delivery,Slim-Fit Khaki Pants,2,Standard,Size 32x32,Pants,98
Hermès,Accessories,Blue/White,2009,South Africa,2022-08-05,ORD-1237,Processing,Cash on Delivery,Silk Scarf,3,Express,One Size,Scarves,895
Zara,Accessories,Brown,2074,United Kingdom,2022-08-06,ORD-816,Processing,Credit/Debit Card,Leather Strap Watch,7,Standard,One Size,Watches,109.99
Mango,Women's Accessories,Brown,2126,Tunisia,2022-08-07,ORD-1498,Shipped,Cash on Delivery,Brown Leather Gloves,2,Standard,Size M,Gloves,129.99
Mango,Men's Clothing,Red/Black,2267,India,2022-08-07,ORD-383,Cancelled,PayPal,Checked Flannel Shirt,6,Standard,Size S,Shirts,89.5
Coach,Men's Shoes,Black,2073,Norway,2022-08-07,ORD-1065,Shipped,Credit/Debit Card,Black Leather Boots,2,Standard,Size 9,Boots,299.99
Mango,Women's Clothing,Black,1999,Switzerland,2022-08-07,ORD-1329,Delivered,Credit/Debit Card,Wrap-Front Jumpsuit,1,Standard,Size 6,Jumpsuits,69.99
Mango,Accessories,Silver,2296,China,2022-08-07,ORD-395,Cancelled,PayPal,Silver Stud Earrings,8,Standard,One Size,Jewelry,65
Gap,Men's Clothing,Navy,2306,Spain,2022-08-08,ORD-1040,Delivered,Credit/Debit Card,Classic Cotton T-Shirt,2,Standard,Size L,Tops,24.99
Coach,Men's Shoes,Black,2250,Netherlands,2022-08-09,ORD-785,Processing,Credit/Debit Card,Black Leather Boots,2,Express,Size 9,Boots,299.99
Mango,Men's Clothing,Red/Blue,1992,Egypt,2022-08-09,ORD-1472,Shipped,Cash on Delivery,Checkered Button-Down Shirt,2,Standard,Size L,Tops,49.99
Common Projects,Men's Shoes,Black,2029,Switzerland,2022-08-10,ORD-1352,Shipped,Credit/Debit Card,Black Leather Sneakers,2,Standard,Size 10,Sneakers,399.99
Mango,Women's Clothing,Ivory,2102,Germany,2022-08-10,ORD-1193,Shipped,Cash on Delivery,Ruffle-Trimmed Blouse,2,Express,Size M,Tops,39.99
Dr. Martens,Men's Shoes,Black,2018,Mexico,2022-08-11,ORD-1312,Delivered,Credit/Debit Card,Black Leather Chelsea Boots,2,Standard,Size 10,Boots,169.99
Brooks Brothers,Men's Clothing,Navy,2061,Tunisia,2022-08-11,ORD-500,Delivered,Credit/Debit Card,Navy Blazer,6,Standard,Size 40R,Blazers,399.99
H&M Kids,Kids Clothing,Pink and Green,2239,China,2022-08-12,ORD-581,Shipped,Credit/Debit Card,Pink Floral Dress,4,Standard,Size 6,Dresses,24.99
Topshop,Women's Clothing,Red,1997,India,2022-08-12,ORD-1162,Shipped,Credit/Debit Card,Red Wrap Skirt,2,Standard,Size M,Skirts,59.99
Adida Kids,Kids Clothing,Blue and White,2417,United States,2022-08-12,ORD-440,Cancelled,PayPal,Blue Striped T-Shirt,2,Standard,Size 2T,Tops,12.99
Adidas Kids,Kids Clothing,Pink,2125,Mexico,2022-08-12,ORD-1290,Delivered,Credit/Debit Card,Pink Ruffle-Sleeve Top,2,Standard,Size 3T,Tops,18.99
Zara,Men's Clothing,Olive Green,2058,France,2022-08-12,ORD-1240,Processing,Cash on Delivery,Men's Bomber Jacket,3,Express,Size L,Jackets,89.99
J.Crew,Women's Clothing,Grey,2119,Germany,2022-08-14,ORD-1443,Delivered,Credit/Debit Card,Grey Knit Sweater,2,Standard,Size L,Sweaters,89.99
Ralph Lauren Kids,Kids Clothing,White,2376,Greece,2022-08-14,ORD-874,Cancelled,PayPal,White Eyelet Dress,8,Standard,Size 7,Dresses,244.99
Adidas Kids,Kids Clothing,Pink,2137,Portugal,2022-08-14,ORD-1157,Delivered,Credit/Debit Card,Pink Ruffle Skirt,2,Standard,Size 6,Skirts,29.99
Gap,Men's Clothing,Navy,2434,France,2022-08-14,ORD-620,Delivered,Credit/Debit Card,Classic Cotton T-Shirt,9,Standard,Size L,Tops,24.99
H&M Kids,Kids Clothing,Gray,1989,United States,2022-08-14,ORD-1267,Processing,Credit/Debit Card,Gray Sweatshirt,1,Express,Size 6,Tops,19.99
GAP Kids,Kids Clothing,Blue and Green,2137,Tunisia,2022-08-15,ORD-1576,Delivered,Credit/Debit Card,Blue Plaid Button-Up Shirt,2,Standard,Size 5,Tops,19.99
Coach,Women's Accessories,Black,1994,Canada,2022-08-15,ORD-485,Delivered,Credit/Debit Card,Leather Crossbody Bag,4,Standard,One Size,Bags,199.99
Mango,Women's Clothing,Pink/White,2034,Saudi Arabia,2022-08-15,ORD-245,Shipped,Cash on Delivery,Floral Midi Dress,1,Express,Size 6,Dresses,148
Mango,Women's Clothing,Pink/White,2271,Italy,2022-08-15,ORD-945,Cancelled,Credit/Debit Card,Floral Midi Dress,2,Standard,Size 6,Dresses,148
Zara,Men's Clothing,Olive Green,2118,Spain,2022-08-15,ORD-260,Shipped,Cash on Delivery,Men's Bomber Jacket,1,Express,Size L,Jackets,89.99
Nike Kids,Kids Clothing,Blue,2225,Norway,2022-08-15,ORD-430,Cancelled,PayPal,Blue Hoodie,6,Standard,Size 10,Tops,39.99
H&M,Women's Clothing,Black,2101,Spain,2022-08-16,ORD-1506,Shipped,Cash on Delivery,Black Ankle Boots,2,Standard,Size 8,Shoes,129.95
Nike Kids,Kids Clothing,Green Camouflage,2002,Switzerland,2022-08-16,ORD-733,Shipped,Cash on Delivery,Green Camo Hoodie,7,Express,Size M,Sweatshirts,21.99
Ralph Lauren,Men's Clothing,Navy,2127,Portugal,2022-08-16,ORD-1474,Shipped,Cash on Delivery,Wool Peacoat,2,Standard,Size L,Jackets,199.99
Brooks Brothers,Men's Clothing,Blue,2378,United States,2022-08-16,ORD-799,Processing,Credit/Debit Card,Blue Dress Shirt,3,Standard,Size L,Dress Shirts,89.99
Nike Kids,Kids Clothing,Blue,2249,Tunisia,2022-08-16,ORD-296,Processing,Credit/Debit Card,Blue Graphic T-shirt,7,Standard,Size 5,Tops,24.99
Canada Goose,Men's Clothing,Green,2011,Portugal,2022-08-16,ORD-1211,Shipped,Cash on Delivery,Green Parka,2,Express,Size L,Outerwear,699.99
Ralph Lauren,Men's Clothing,White,2070,Germany,2022-08-17,ORD-923,Cancelled,PayPal,White Oxford Shirt,4,Standard,Size L,Dress Shirts,99.99
H&M Kids,Kids Clothing,Blue,2134,Denmark,2022-08-17,ORD-1151,Delivered,Credit/Debit Card,Blue Denim Skirt,2,Standard,Size 8,Skirts,32.99
Ralph Lauren Kids,Kids Clothing,Navy Blue,2364,Japan,2022-08-17,ORD-1007,Delivered,Credit/Debit Card,Navy Blue Polo Shirt,9,Standard,Size 6,Tops,39.99
Ralph Lauren Kids,Kids Clothing,Navy Blue,2068,Tunisia,2022-08-17,ORD-1567,Delivered,Credit/Debit Card,Navy Blue Polo Shirt,3,Standard,Size 6,Tops,39.99
Canada Goose,Men's Clothing,Green,2399,Germany,2022-08-18,ORD-1071,Shipped,Credit/Debit Card,Green Parka,3,Standard,Size L,Outerwear,699.99
Adida Kids,Kids Clothing,Blue and White,2227,Denmark,2022-08-18,ORD-300,Processing,Credit/Debit Card,Blue Striped T-Shirt,1,Standard,Size 2T,Tops,12.99
H&M,Women's Clothing,Pink/Yellow,2099,Italy,2022-08-18,ORD-919,Cancelled,PayPal,Floral Print Sundress,3,Standard,Size S,Dresses,39.99
Mango,Women's Clothing,Black,2333,Germany,2022-08-19,ORD-129,Delivered,Credit/Debit Card,Women's Leather Moto Jacket,1,Standard,Size S,Jackets,199.99
Topshop,Women's Clothing,Burgundy,2116,Portugal,2022-08-19,ORD-1113,Delivered,Credit/Debit Card,Women's Faux Leather Jacket,2,Standard,Size M,Jackets,99.99
H&M Kids,Kids Clothing,Pink,2067,Morocco,2022-08-20,ORD-1129,Delivered,Credit/Debit Card,Pink Striped Dress,3,Standard,Size 4,Dresses,59.99
Hermès,Accessories,Black,2437,India,2022-08-20,ORD-812,Processing,Credit/Debit Card,Oversized Sunglasses,3,Standard,One Size,Sunglasses,965
Cole Haan,Men's Shoes,Brown,1995,United Kingdom,2022-08-20,ORD-1322,Delivered,Credit/Debit Card,Leather Oxford Shoes,2,Standard,Size 10.5,Dress Shoes,149.99
Patagonia,Men's Clothing,Navy Blue,2008,Tunisia,2022-08-20,ORD-412,Cancelled,PayPal,Men's Down Jacket,8,Standard,Size L,Jackets,349.99
The North Face,Women's Clothing,Black,1996,Spain,2022-08-20,ORD-1243,Processing,Cash on Delivery,Women's Puffer Jacket,1,Express,Size S,Outerwear,199.99
Banana Republic,Women's Clothing,Cream,2051,France,2022-08-20,ORD-1331,Delivered,Credit/Debit Card,Cable Knit Sweater,1,Standard,Size S,Sweaters,79.99
Mango,Men's Clothing,Red/Blue,2283,Hong Kong,2022-08-21,ORD-772,Shipped,Credit/Debit Card,Checkered Button-Down Shirt,4,Express,Size L,Tops,49.99
Nike,Men's Clothing,Grey,2031,Mexico,2022-08-21,ORD-1353,Shipped,Credit/Debit Card,Grey Sweatpants,3,Standard,Size M,Sweatpants,49.99
The North Face,Men's Clothing,Grey,2278,France,2022-08-21,ORD-830,Processing,Credit/Debit Card,Men's Fleece Jacket,1,Standard,Size M,Jackets,99.99
The North Face,Women's Clothing,Black,2027,Mexico,2022-08-21,ORD-123,Delivered,Credit/Debit Card,Women's Puffer Jacket,9,Standard,Size S,Outerwear,199.99
The North Face,Women's Clothing,Black,2029,United Arab Emirates,2022-08-22,ORD-683,Delivered,Credit/Debit Card,Women's Puffer Jacket,8,Standard,Size S,Outerwear,199.99
Brooks Brothers,Men's Shoes,Brown,2088,Morocco,2022-08-22,ORD-1481,Shipped,Cash on Delivery,Brown Leather Loafers,3,Standard,Size 10,Loafers,199.99
Coachy,Women's Clothing,Black,2060,Italy,2022-08-22,ORD-507,Delivered,Credit/Debit Card,Black Pencil Skirt,6,Standard,Size 4,Skirts,179.99
H&M,Women's Clothing,Pink/Yellow,2080,Germany,2022-08-22,ORD-779,Processing,Credit/Debit Card,Floral Print Sundress,2,Express,Size S,Dresses,39.99
Levi's,Men's Clothing,Blue,2000,France,2022-08-22,ORD-370,Cancelled,PayPal,Blue Jeans,6,Standard,Size 32,Jeans,79.99
Timberland,Men's Shoes,Brown,2268,Mexico,2022-08-23,ORD-186,Delivered,Cash on Delivery,Brown Leather Boots,5,Standard,Size 9.5,Boots,179.99
Hermès,Accessories,Blue/White,2097,United Kingdom,2022-08-23,ORD-257,Shipped,Cash on Delivery,Silk Scarf,2,Express,One Size,Scarves,895
Canada Goose,Men's Clothing,Green,2405,Germany,2022-08-23,ORD-231,Shipped,Cash on Delivery,Green Parka,6,Express,Size L,Outerwear,699.99
Canada Goose,Men's Clothing,Dark Green,2394,Italy,2022-08-24,ORD-128,Delivered,Credit/Debit Card,Men's Parka,8,Standard,Size XL,Jackets,999.99
ASOS,Men's Clothing,Black,2079,Japan,2022-08-24,ORD-978,Delivered,Credit/Debit Card,Men's Faux Leather Jacket,4,Standard,Size M,Jackets,79.99
AllSaints,Men's Clothing,Black,2397,Brazil,2022-08-24,ORD-929,Cancelled,PayPal,Black Leather Jacket,2,Standard,Size M,Jackets,499.99
Madewell,Women's Clothing,Blue,2113,Egypt,2022-08-24,ORD-333,Processing,Credit/Debit Card,Blue Denim Jacket,6,Standard,Size M,Jackets,99.99
Zara,Accessories,Bourbon,2024,India,2022-08-25,ORD-534,Delivered,Credit/Debit Card,Leather Passport Case,4,Standard,One Size,Travel Accessories,125
